,Image,Accuracy,F1,Jaccard,Recall,Precision
0,adult-baby-background-bump-41286_0,0.97747802734375,0.982581090570068,0.9657586284892387,0.9881846774672126,0.9770406965828013
1,adult-caucasian-child-daughter-41316_0,0.9830741882324219,0.9888168888418409,0.9778811354051387,0.9828493265993266,0.9948573602130087
2,aircraft-women-fashion-pilot-48797_0,0.986297607421875,0.9914726731460423,0.9830895472499329,0.9909222052445262,0.9920237529691212
3,american-football-football-football-player-quarterback-159819_0,0.976226806640625,0.9630621873444131,0.9287559732034661,0.9752004609401258,0.9512223679280629
4,american-football-referees-american-football-football-referees-decision-making-163454_0,0.9751052856445312,0.9796215338496127,0.9600570438784941,0.9763228163648925,0.9829426177629889
5,baby-boy-child-cuddle-40975_0,0.9958915710449219,0.9975728975816865,0.9951575482896299,0.9983265825297021,0.9968203497615262
6,baby-child-cute-doll-41307_0,0.8997154235839844,0.9050187693519425,0.8265153264922295,0.9943394279090815,0.830422617390036
7,ball-bauble-christmas-decoration-41516_0,0.9915847778320312,0.9938412230448815,0.9877578428053742,0.9933254086512973,0.9943575734213775
8,ballerina-in-the-city-girl-beautiful-cute-161000_0,0.98773193359375,0.9344930134028598,0.877040718791818,0.9421694664640408,0.9269406392694064
9,baseball-player-running-sport-163209_0,0.9960174560546875,0.9933503184713376,0.9867884892814659,0.9928444104914693,0.9938567422890645
10,bass-guitar-musician-instrument-guitarist-159260_0,0.9356002807617188,0.9251876733818433,0.8607899727879937,0.9638603165223172,0.8894986195848529
11,beautiful-cute-dress-eyes-41537_0,0.9926795959472656,0.9949882083171192,0.9900264022285976,0.9920940382381892,0.9978993137408979
12,beautiful-face-female-girl-41533_0,0.9945640563964844,0.99571073820453,0.9914581147909486,0.9959595594655298,0.9954620412388507
13,beautiful-woman-picnic-spring-vintage-val_0,0.9830589294433594,0.9840786138606762,0.9686562634539513,0.9972823717482924,0.9712199160728312
14,beverage-diet-drink-female-41556_0,0.89215087890625,0.8833066420115901,0.7910019663793486,0.7955716484382551,0.9927908034032604
15,black-and-white-silhouette-girl-playful-463193_0,0.9958686828613281,0.9871118991800645,0.9745517776159034,0.9872646337689542,0.9869592118414164
16,black-white-bw-nature-dress-157915_0,0.9913139343261719,0.9908445012726023,0.9818551278986374,0.9930605928719958,0.9886382784103218
17,box-christmas-claus-cute-41940_0,0.9880943298339844,0.9893530284681119,0.9789303845322964,0.9903361516711969,0.9883718552548172
18,boy-child-fun-beach_0,0.9782562255859375,0.9813562204806824,0.9633948984047882,0.9807851982609264,0.9819279079966226
